principal_diagnostic,icd_code
Aspergilosis pulmonar invasiva,B440
Otras aspergilosis pulmonares,B441
Aspergilosis amigdalina,B442
Aspergilosis diseminada,B447
Otras formas de aspergilosis,B448
"Aspergilosis, no especificada",B449
Criptococosis,B45
Criptococosis pulmonar,B450
Criptococosis cerebral,B451
Criptococosis cutánea,B452
Criptococosis ósea,B453
Criptococosis diseminada,B457
Otras formas de criptococosis,B458
"Criptococosis, no especificada",B459
Cigomicosis,B46
Mucormicosis pulmonar,B460
Mucormicosis rinocerebral,B461
Mucormicosis gastrointestinal,B462
Mucormicosis cutánea,B463
Mucormicosis diseminada,B464
"Mucormicosis, sin otra especificación",B465
Otras cigomicosis,B468
"Cigomicosis, no especificada",B469
Micetoma,B47
Eumicetoma,B470
Actinomicetoma,B471
"Micetoma, no especificado",B479
"Otras micosis, no clasificadas en otra parte",B48
Lobomicosis,B480
Rinosporidiosis,B481
Alesqueriasis,B482
Geotricosis,B483
Penicilosis,B484
Micosis oportunistas,B487
Otras micosis especificadas,B488
"Micosis, no especificada",B49
Paludismo [malaria] debido a Plasmodium falciparum,B50
Paludismo debido a Plasmodium falciparum con complicaciones cerebrales,B500
Otro paludismo grave y complicado debido a Plasmodium falciparum,B508
"Paludismo debido a Plasmodium falciparum, sin otra especificación",B509
Paludismo [malaria] debido a Plasmodium vivax,B51
Paludismo debido a Plasmodium vivax con ruptura esplénica,B510
Paludismo debido a Plasmodium vivax con otras,B518
"Paludismo debido a Plasmodium vivax, sin complicaciones",B519
Paludismo [malaria] debido a Plasmodium malariae,B52
Paludismo debido a Plasmodium malariae con nefropatía,B520
Paludismo debido a Plasmodium malariae con otras complicaciones,B528
"Paludismo debido a Plasmodium malariae, sin complicaciones",B529
Otro paludismo [malaria] confirmado parasitológicamente,B53
Paludismo debido a Plasmodium ovale,B530
Paludismo debido a plasmodios de los simios,B531
"Otro paludismo confirmado parasitológicamente, no clasificado en otra parte",B538
Paludismo [malaria] no especificado,B54
Leishmaniasis,B55
Leishmaniasis visceral,B550
Leishmaniasis cutánea,B551
Leishmaniasis mucocutánea,B552
"Leishmaniasis, no especificada",B559
Tripanosomiasis africana,B56
Tripanosomiasis gambiense,B560
Tripanosomiasis rhodesiense,B561
"Tripanosomiasis africana, sin otra especificación",B569
Enfermedad de Chagas,B57
"Enfermedad de Chagas aguda que afecta al corazón (I41.2, I98.1)",B570
Enfermedad de Chagas aguda que no afecta al corazón,B571
Enfermedad de Chagas (crónica) que afecta al corazón,B572
Enfermedad de Chagas (crónica) que afecta al sistema digestivo,B573
Enfermedad de Chagas (crónica) que afecta al sistema nervioso,B574
Enfermedad de Chagas (crónica) que afecta otros órganos,B575
Toxoplasmosis,B58
Oculopatía debida a toxoplasma,B580
Hepatitis debida a toxoplasma (K77.0),B581
Meningoencefalitis debida a toxoplasma (G05.2),B582
Toxoplasmosis pulmonar (J17.3),B583
Toxoplasmosis con otro órgano afectado,B588
"Toxoplasmosis, no especificada",B589
Neumocistosis (J17.3),B59
"Otras enfermedades debidas a protozoarios, no clasificadas en otra parte",B60
Babesiosis,B600
Acantamebiasis,B601
Naegleriasis,B602
Otras enfermedades especificadas debidas a protozarios,B608
"Enfermedad debida a protozoarios, no especificada",B64
Esquistosomiasis [bilharziasis],B65
Esquistosomiasis debida a Schistosoma haematobium,B650
Esquistosomiasis debida a Schistosoma mansoni [esquistosomiasis intestinal],B651
Esquistosomiasis debida a Schistosoma japonicum,B652
Dermatitis por cercarias,B653
Otras esquistosomiasis,B658
"Esquistosomiasis, no especificada",B659
Otras infecciones debidas a trematodos,B66
Opistorquiasis,B660
Clonorquiasis,B661
Dicrocoeliasis,B662
Fascioliasis,B663
Paragonimiasis,B664
Fasciolopsiasis,B665
Otras infecciones especificadas debidas a trematodos,B668
"Infección debida a trematodos, no especificada",B669
Equinococosis,B67
Infección del hígado debida a Echinococcus granulosus,B670
Infección del pulmón debida a Echinococcus granulosus,B671
Infección de hueso debida a Echinococcus granulosus,B672
Infección de otro órgano y de sitios múltiples debida a Echinococcus granulosus,B673
"Infección debida a Echinococcus granulosus, sin otra especificación",B674
Infección del hígado debida a Echinococcus multilocularis,B675
Infección de otro órgano y de sitios múltiples debida a Echinococcus multilocularis,B676
"Infección debida a Echinococcus multilocularis, sin otra especificación",B677
"Equinococosis del hígado, no especificada",B678
"Equinococosis, otra y la no especificada",B679
Teniasis,B68
Teniasis debida a Taenia solium,B680
Infección debida a Taenia saginata,B681
"Teniasis, no especificada",B689
Cisticercosis,B69
Cisticercosis del sistema nervioso central,B690
Cisticercosis del ojo,B691
Cisticercosis de otros sitios,B698
"Cisticercosis, no especificada",B699
Difilobotriasis y esparganosis,B70
Difilobotriasis intestinal,B700
Esparganosis,B701
Otras infecciones debidas a cestodos,B71
Himenolepiasis,B710
Dipilidiasis,B711
Otras infecciones debidas a cestodos especificadas,B718
"Infección debida a cestodos, no especificada",B719
Dracontiasis,B72
Oncocercosis,B73
Filariasis,B74
Filariasis debida a Wuchereria bancrofti,B740
Filariasis debida a Brugia malayi,B741
Filariasis debida a Brugia timori,B742
Loaiasis,B743
Mansoneliasis,B744
Otras filariasis,B748
"Filariasis, no especificada",B749
Triquinosis,B75
Anquilostomiasis y necatoriasis,B76
Anquilostomiasis,B760
Necatoriasis,B761
Otras enfermedades debidas a anquilostomas,B768
"Enfermedad debida a anquilostomas, no especificada",B769
Ascariasis,B77
Ascariasis con complicaciones intestinales,B770
Ascariasis con otras complicaciones,B778
"Ascariasis, no especificada",B779
Estrongiloidiasis,B78
Estrongiloidiasis intestinal,B780
Estrongiloidiasis cutánea,B781
Estrongiloidiasis diseminada,B787
"Estrongiloidiasis, no especificada",B789
Tricuriasis,B79
Enterobiasis,B80
"Otras helmintiasis intestinales, no clasificadas en otra parte",B81
Anisaquiasis,B810
Capilariasis intestinal,B811
Tricoestrongiliasis,B812
Angioestrongiliasis intestinal,B813
Helmintiasis intestinal mixta,B814
Otras helmintiasis intestinales especificadas,B818
"Parasitosis intestinales, sin otra especificación",B82
"Helmintiasis intestinal, sin otra especificación",B820
"Parasitosis intestinal, sin otra especificación",B829
Otras helmintiasis,B83
Larva migrans visceral,B830
Gnatostomiasis,B831
Angioestrongiliasis debida a Parastrongylus cantonensis,B832
Singamiasis,B833
Hirudiniasis interna,B834
Otras helmintiasis especificadas,B838
"Helmintiasis, no especificada",B839
Pediculosis y phthiriasis,B85
Pediculosis debida a Pediculus humanus capitis,B850
Pediculosis debida a Pediculus humanus corporis,B851
"Pediculosis, sin otra especificación",B852
Phthiriasis,B853
Pediculosis y phthiriasis mixtas,B854
Escabiosis,B86
Miasis,B87
Miasis cutánea,B870
Miasis en heridas,B871
Miasis ocular,B872
Miasis nasofaríngea,B873
Miasis aural,B874
Miasis de otros sitios,B878
"Miasis, no especificada",B879
Otras infestaciones,B88
Otras acariasis,B880
Tungiasis [infección debida a pulga de arena],B881
Otras infestaciones debidas a artrópodos,B882
Hirudiniasis externa,B883
Otras infestaciones especificadas,B888
"Infestación, no especificada",B889
"Enfermedad parasitaria, no especificada",B89
Secuelas de tuberculosis,B90
Secuelas de tuberculosis del sistema nervioso central,B900
Secuelas de tuberculosis genitourinaria,B901
Secuelas de tuberculosis de huesos y articulaciones,B902
Secuelas de tuberculosis de otros órganos especificados,B908
Secuelas de tuberculosis respiratoria y de tuberculosis no especificada,B909
Secuelas de poliomielitis,B91
Secuelas de lepra,B92
Secuelas de otras enfermedades infecciosas y parasitarias y de las no especificadas,B94
Secuelas de tracoma,B940
Secuelas de encefalitis viral,B941
Secuelas de hepatitis viral,B942
Secuelas de otras enfermedades infecciosas y parasitarias especificadas,B948
Secuelas de enfermedades infecciosas y parasitarias no especificadas,B949
Estreptococos y estafilococos como causa de enfermedades clasificadas en otros capítulos,B95
"Estreptococo, grupo A, como causa de enfermedades clasificadas en otros capítulos",B950
"Estreptococo, grupo B, como causa de enfermedades clasificadas en otros capítulos",B951
"Estreptococo, grupo D, como causa de enfermedades clasificadas en otros capítulos",B952
Streptococcus pneumoniae como causa de enfermedades clasificadas en otros capítulos,B953
Otros estreptococos como causa de enfermedades clasificadas en otros capítulos,B954
Estreptococo no especificado como causa de enfermedades clasificadas en otros capítulos,B955
Staphylococcus aureus como causa de enfermedades clasificadas en otros capítulos,B956
Otros estafilococos como causa de enfermedades clasificadas en otros capítulos,B957
"Estafilococo no especificado, como causa de enfermedades clasificadas en otros capítulos",B958
Otros agentes bacterianos como causa de enfermedades clasificadas en otros capítulos,B96
Mycoplasma pneumoniae [M. pneumoniae] como causa de enfermedades clasificadas en otros capítulos,B960
Klebsiella pneumoniae [K. pneumoniae] como causa de enfermedades clasificadas en otros capítulos,B961
Escherichia coli [E. coli] como causa de enfermedades clasificadas en otros capítulos,B962
Haemophilus influenzae [H. influenzae] como causa de enfermedades clasificadas en otros capítulos,B963
Proteus (mirabilis) (morganii) como causa de enfermedades clasificadas en otros capítulos,B964
Pseudomonas (aeruginosa) (mallei) (pseudomallei) como causa de enfermedades clasificadas en otros capítulos,B965
Bacillus fragilis [B. fragilis] como causa de enfermedades,B966
Clostridium perfringens [C. perfringens] como causa de enfermedades clasificadas en otros capítulos,B967
Otros agentes bacterianos especificados como causa de enfermedades clasificadas en otros capítulos,B968
Agentes virales como causa de enfermedades clasificadas en otros capítulos,B97
Adenovirus como causa de enfermedades clasificadas en otros capítulos,B970
Enterovirus como causa de enfermedades clasificadas en otros capítulos,B971
Coronavirus como causa de enfermedades clasificadas en otros capítulos,B972
Retrovirus como causa de enfermedades clasificadas en otros capítulos,B973
Virus sincicial respiratorio como causa de enfermedades clasificadas en otros capítulos,B974
Reovirus como causa de enfermedades clasificadas en otros capítulos,B975
Parvovirus como causa de enfermedades clasificadas en otros capítulos,B976
Papilomavirus como causa de enfermedades clasificadas en otros capítulos,B977
Otros agentes virales como causa de enfermedades clasificadas en otros capítulos,B978
Otras enfermedades infecciosas y las no especificadas,B99
Tumor maligno del labio,C00
"Tumor maligno del labio superior, cara externa",C000
"Tumor maligno del labio inferior, cara externa",C001
"Tumor maligno del labio, cara externa, sin otra especificación",C002
"Tumor maligno del labio superior, cara interna",C003
"Tumor maligno del labio inferior, cara interna",C004
"Tumor maligno del labio, cara interna, sin otra especificación",C005
Tumor maligno de la comisura labial,C006
Lesión de sitios contiguos del labio,C008
"Tumor maligno del labio, parte no especificada",C009
Tumor maligno de la base de la lengua,C01
Tumor maligno de otras partes y de las no especificadas de la lengua,C02
Tumor maligno de la cara dorsal de la lengua,C020
Tumor maligno del borde de la lengua,C021
Tumor maligno de la cara ventral de la lengua,C022
"Tumor maligno de los dos tercios anteriores de la lengua, parte no especificada",C023
Tumor maligno de la amígdala lingual,C024
Lesión de sitios contiguos de la lengua,C028
"Tumor maligno de la lengua, parte no especificada",C029
Tumor maligno de la encía,C03
Tumor maligno de la encía superior,C030
Tumor maligno de la encía inferior,C031
"Tumor maligno de la encía, parte no especificada",C039
Tumor maligno del piso de la boca,C04
Tumor maligno de la parte anterior del piso de la boca,C040
Tumor maligno de la parte lateral del piso de la boca,C041
Lesión de sitios contiguos del piso de la boca,C048
"Tumor maligno del piso de la boca, parte no especificada",C049
Tumor maligno del paladar,C05
Tumor maligno del paladar duro,C050
Tumor maligno del paladar blando,C051
Tumor maligno de la úvula,C052
Lesión de sitios contiguos del paladar,C058
"Tumor maligno del paladar, parte no especificada",C059
Tumor maligno de otras partes y de las no especificadas de la boca,C06
Tumor maligno de la mucosa de la mejilla,C060
Tumor maligno del vestíbulo de la boca,C061
Tumor maligno del área retromolar,C062
Lesión de sitios contiguos de otras partes y de las no especificadas de la boca,C068
"Tumor maligno de la boca, parte no especificada",C069
Tumor maligno de la glándula parótida,C07
Tumor maligno de otras glándulas salivales mayores y de las no especificadas,C08
Tumor maligno de la glándula submaxilar,C080
Tumor maligno de la glándula sublingual,C081
Lesión de sitios contiguos de las glándulas salivales mayores,C088
"Tumor maligno de glándula salival mayor, no especificada",C089
Tumor maligno de la amígdala,C09
Tumor maligno de la fosa amigdalina,C090
Tumor maligno del pilar amigdalino (anterior) (posterior),C091
Lesión de sitios contiguos de la amígdala,C098
"Tumor maligno de la amígdala, parte no especificada",C099
Tumor maligno de la orofaringe,C10
Tumor maligno de la valécula,C100
Tumor maligno de la cara anterior de la epiglotis,C101
Tumor maligno de la pared lateral de la orofaringe,C102
Tumor maligno de la pared posterior de la orofaringe,C103
Tumor maligno de la hendidura branquial,C104
Lesión de sitios contiguos de la orofaringe,C108
"Tumor maligno de la orofaringe, parte no especificada",C109
Tumor maligno de la nasofaringe,C11
Tumor maligno de la pared superior de la nasofaringe,C110
Tumor maligno de la pared posterior de la nasofaringe,C111
Tumor maligno de la pared lateral de la nasofaringe,C112
Tumor maligno de la pared anterior de la nasofaringe,C113
Lesión de sitios contiguos de la nasofaringe,C118
"Tumor maligno de la nasofaringe, parte no especificada",C119
Tumor maligno del seno piriforme,C12
Tumor maligno de la hipofaringe,C13
Tumor maligno de la región postcricoidea,C130
"Tumor maligno del pliegue aritenoepiglótico, cara hipofaríngea",C131
Tumor maligno de la pared posterior de la hipofaringe,C132
Lesión de sitios contiguos de la hipofaringe,C138
"Tumor maligno de la hipofaringe, parte no especificada",C139
